requested_title,costco_cost_reference,item_id,resolution,match_score,requested_brand,requested_pack,catalog_title,pool,url_derived,resolution_notes
"Kirkland Signature Organic Broccoli Florets, 1 lb, 4 ct",11.98,1217608,resolved_catalog_exact,1.0,Kirkland Signature,4 ct,"Kirkland Signature Organic Broccoli Florets, 1 lb, 4 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Decaf Ground Coffee, Dark Roast, 3 lbs",28.37,46242,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Decaf Ground Coffee, Dark Roast, 3 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Normandy-Style Vegetable Blend, 5.5 lbs",11.87,1238662,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Normandy-Style Vegetable Blend, 5.5 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Hummus, 2.5 oz, 20 ct",9.78,1280819,resolved_catalog_exact,1.0,Kirkland Signature,20 ct,"Kirkland Signature Organic Hummus, 2.5 oz, 20 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Sliced Bacon, Hickory Smoked, 1 lb, 4 ct",18.47,7000070,resolved_catalog_exact,1.0,Kirkland Signature,4 ct,"Kirkland Signature Sliced Bacon, Hickory Smoked, 1 lb, 4 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Creamy Liquid Shortening, 35 lbs",47.95,71012,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Creamy Liquid Shortening, 35 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Cat Food, Chicken and Rice Formula, 25 lbs",29.69,52296,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Cat Food, Chicken and Rice Formula, 25 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Soup Stock, Chicken, 32 fl oz, 6 ct",13.08,516822,resolved_catalog_exact,1.0,Kirkland Signature,6 ct,"Kirkland Signature Organic Soup Stock, Chicken, 32 fl oz, 6 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Thai Hom Mali Jasmine Rice, Long Grain, 25 lbs",28.04,841930,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Thai Hom Mali Jasmine Rice, Long Grain, 25 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Whole Milk, 8 fl oz, 18 ct",20.12,1743030,resolved_catalog_exact,1.0,Kirkland Signature,18 ct,"Kirkland Signature Organic Whole Milk, 8 fl oz, 18 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Cheese Pizza, 18.25 oz, 4 ct",14.73,9820887,resolved_catalog_exact,1.0,Kirkland Signature,4 ct,"Kirkland Signature Cheese Pizza, 18.25 oz, 4 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Nitrile Exam Gloves, Extra Large, 400 ct",27.27,2030645,resolved_catalog_exact,1.0,Kirkland Signature,400 ct,"Kirkland Signature Nitrile Exam Gloves, Extra Large, 400 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Tonkotsu Ramen Broth, Pork, 32 fl oz, 4 ct",17.15,1978580,resolved_catalog_exact,1.0,Kirkland Signature,4 ct,"Kirkland Signature Tonkotsu Ramen Broth, Pork, 32 fl oz, 4 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Ultra Shine Dishwashing Liquid, Fresh Scent, 90 fl oz",11.32,1789130,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Ultra Shine Dishwashing Liquid, Fresh Scent, 90 fl oz",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Purified Drinking Water, 1 Gallon, 6 ct",11.54,931484,resolved_catalog_exact,1.0,Kirkland Signature,6 ct,"Kirkland Signature Purified Drinking Water, 1 Gallon, 6 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Three Berry Blend, 4 lbs",14.95,1010598,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Three Berry Blend, 4 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Tortilla Strips, 3 lbs",7.47,44004,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Tortilla Strips, 3 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Albacore Solid White Tuna in Water, 7 oz, 8 ct",22.21,1492456,resolved_catalog_exact,1.0,Kirkland Signature,8 ct,"Kirkland Signature Albacore Solid White Tuna in Water, 7 oz, 8 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Chicken Tenderloins, Boneless Skinless, 6 lbs",24.85,1294443,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Chicken Tenderloins, Boneless Skinless, 6 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Premium Chunk Chicken Breast, 12.5 oz, 6 ct",16.05,51070,resolved_catalog_exact,1.0,Kirkland Signature,6 ct,"Kirkland Signature Premium Chunk Chicken Breast, 12.5 oz, 6 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Grass-Fed Butter, Salted, 8 oz, 4 ct",14.95,1424237,resolved_catalog_exact,1.0,Kirkland Signature,4 ct,"Kirkland Signature Grass-Fed Butter, Salted, 8 oz, 4 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",15.5,1601187,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Fully-Cooked Bacon, Hickory Wood Smoked, 1 lb",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Whole Bean Coffee, French Roast, 2.5 lbs",23.31,1528787,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Whole Bean Coffee, French Roast, 2.5 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Aged Parmigiano Reggiano Cheese, Shredded, 1 lb",24.85,186626,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Aged Parmigiano Reggiano Cheese, Shredded, 1 lb",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Fresh Goat Cheese, 10.5 oz, 2 ct",9.89,9090,resolved_catalog_exact,1.0,Kirkland Signature,2 ct,"Kirkland Signature Fresh Goat Cheese, 10.5 oz, 2 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Butter, Unsalted, Sticks, 1 lb, 4 ct",11.87,41400,resolved_catalog_exact,1.0,Kirkland Signature,4 ct,"Kirkland Signature Butter, Unsalted, Sticks, 1 lb, 4 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Butter, Salted, Block, 1 lb, 4 ct",11.76,44111,resolved_catalog_exact,1.0,Kirkland Signature,4 ct,"Kirkland Signature Butter, Salted, Block, 1 lb, 4 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Italian Sparkling Water, 16.9 fl oz, 24 ct",25.29,9262015,resolved_catalog_exact,1.0,Kirkland Signature,24 ct,"Kirkland Signature Italian Sparkling Water, 16.9 fl oz, 24 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Protein Bar, Variety Pack, 21g Protein, 2.12 oz, 20 ct",29.47,1014809,resolved_catalog_exact,1.0,Kirkland Signature,20 ct,"Kirkland Signature Protein Bar, Variety Pack, 21g Protein, 2.12 oz, 20 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature California In-Shell Pistachios, Roasted & Salted, 3 lbs",21.33,545345,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature California In-Shell Pistachios, Roasted & Salted, 3 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature French Fries, Extra-Crispy, 5 lbs, 6 ct",41.57,9879878,resolved_catalog_exact,1.0,Kirkland Signature,6 ct,"Kirkland Signature French Fries, Extra-Crispy, 5 lbs, 6 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Milk, 1% Low Fat, Half Gallon, 3 ct",15.61,218073,resolved_catalog_exact,1.0,Kirkland Signature,3 ct,"Kirkland Signature Organic Milk, 1% Low Fat, Half Gallon, 3 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic No-Salt Seasoning, 14.5 oz",10.66,165041,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Organic No-Salt Seasoning, 14.5 oz",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Thick Sliced Bacon, Center Cut, 1.5 lbs, 2 ct",14.4,9050611,resolved_catalog_exact,1.0,Kirkland Signature,2 ct,"Kirkland Signature Thick Sliced Bacon, Center Cut, 1.5 lbs, 2 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Pepperoni Pizza, Artisan Crust, 21.52 oz, 4 ct",18.69,1925804,resolved_catalog_exact,1.0,Kirkland Signature,4 ct,"Kirkland Signature Pepperoni Pizza, Artisan Crust, 21.52 oz, 4 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Whole Milk, 1 Gallon, 2 ct",10.34,2,resolved_catalog_exact,1.0,Kirkland Signature,2 ct,"Kirkland Signature Whole Milk, 1 Gallon, 2 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Large Eggs, Free Range, 2 Dozen",10.44,1068083,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Organic Large Eggs, Free Range, 2 Dozen",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Coconut Water, 33.8 fl oz, 9 ct",27.49,1495250,resolved_catalog_exact,1.0,Kirkland Signature,9 ct,"Kirkland Signature Organic Coconut Water, 33.8 fl oz, 9 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Butter, Salted, Stick, 1 lb, 4 ct",11.87,41114,resolved_catalog_exact,1.0,Kirkland Signature,4 ct,"Kirkland Signature Butter, Salted, Stick, 1 lb, 4 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Turkey Breast, Oven Browned, 4 lb avg wt",5.6,47500,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Turkey Breast, Oven Browned, 4 lb avg wt",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Ionized Alkaline Water, 33.8 fl oz, 18 ct",16.49,4165934,resolved_catalog_exact,1.0,Kirkland Signature,18 ct,"Kirkland Signature Ionized Alkaline Water, 33.8 fl oz, 18 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Stir Fry Vegetable Blend, 5.5 lbs",12.64,1015237,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Stir Fry Vegetable Blend, 5.5 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Culinary Parchment Paper, 15"" x 164', 2 ct",17.37,1323118,resolved_catalog_exact,1.0,Kirkland Signature,2 ct,"Kirkland Signature Culinary Parchment Paper, 15"" x 164', 2 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Thin Sliced Chicken Breasts, Boneless Skinless, 10 lbs",37.17,1055599,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Thin Sliced Chicken Breasts, Boneless Skinless, 10 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Evaporated Milk, 12 fl oz, 12 ct",14.4,1327935,resolved_catalog_exact,1.0,Kirkland Signature,12 ct,"Kirkland Signature Evaporated Milk, 12 fl oz, 12 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature SAE 5W-20 Full Synthetic Motor Oil, 1 Quart, 6 ct",29.03,1448209,resolved_catalog_exact,1.0,Kirkland Signature,6 ct,"Kirkland Signature SAE 5W-20 Full Synthetic Motor Oil, 1 Quart, 6 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature SAE 5W-30 Full Synthetic Motor Oil, 1 Quart, 6 ct",29.03,1448217,resolved_catalog_exact,1.0,Kirkland Signature,6 ct,"Kirkland Signature SAE 5W-30 Full Synthetic Motor Oil, 1 Quart, 6 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Colombian Ground Coffee, Dark Roast, 1.75 oz, 42 ct",40.91,25484,resolved_catalog_exact,1.0,Kirkland Signature,42 ct,"Kirkland Signature Colombian Ground Coffee, Dark Roast, 1.75 oz, 42 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Ground Saigon Cinnamon, 10.7 oz",6.7,1124845,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Organic Ground Saigon Cinnamon, 10.7 oz",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Plastic Food Wrap, 12''W x 3000'L",22.87,208733,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Plastic Food Wrap, 12''W x 3000'L",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Advanced Glucosamine, 1500 mg, and Chondroitin, 1200 mg, 280 ct",22.32,1665191,resolved_catalog_exact,1.0,Kirkland Signature,280 ct,"Kirkland Signature Advanced Glucosamine, 1500 mg, and Chondroitin, 1200 mg, 280 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Dog Food, Chicken & Rice Formula, 13.2 oz, 24 ct",41.79,1567724,resolved_catalog_exact,1.0,Kirkland Signature,24 ct,"Kirkland Signature Dog Food, Chicken & Rice Formula, 13.2 oz, 24 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature House Blend Whole Bean Coffee, Medium Roast, 2.5 lbs",22.98,1726089,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature House Blend Whole Bean Coffee, Medium Roast, 2.5 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Liquid Egg Whites, Cage Free, 16 oz, 6 ct",15.72,1063232,resolved_catalog_exact,1.0,Kirkland Signature,6 ct,"Kirkland Signature Liquid Egg Whites, Cage Free, 16 oz, 6 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Freezer Quart Plus Bags, Double Zipper, 264 ct",16.27,1843112,resolved_catalog_exact,1.0,Kirkland Signature,264 ct,"Kirkland Signature Freezer Quart Plus Bags, Double Zipper, 264 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Chicken Breast Fillets, Lightly Breaded, 48 oz",17.37,1782177,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Chicken Breast Fillets, Lightly Breaded, 48 oz",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Freezer Gallon Plus Bags, Double Zipper, 192 ct",18.03,1843108,resolved_catalog_exact,1.0,Kirkland Signature,192 ct,"Kirkland Signature Freezer Gallon Plus Bags, Double Zipper, 192 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Colombian Supremo Whole Bean Coffee, Medium Roast, 3 lbs",24.85,120296,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Colombian Supremo Whole Bean Coffee, Medium Roast, 3 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Espresso Blend Whole Bean Coffee, Dark Roast, 2.5 lbs",23.75,1726068,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Espresso Blend Whole Bean Coffee, Dark Roast, 2.5 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Nature's Domain Dog Food, Salmon & Sweet Potato, 25 lbs",35.96,1936927,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Nature's Domain Dog Food, Salmon & Sweet Potato, 25 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Nature's Domain Dog Food, Beef & Sweet Potato, 25 lbs",31.67,1936934,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Nature's Domain Dog Food, Beef & Sweet Potato, 25 lbs",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Lemonade, 96 fl oz, 2 ct",9.01,736083,resolved_catalog_exact,1.0,Kirkland Signature,2 ct,"Kirkland Signature Organic Lemonade, 96 fl oz, 2 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature 2% Reduced Fat Milk, Lactose-Free, Half Gallon, 3 ct",16.27,1975527,resolved_catalog_exact,1.0,Kirkland Signature,3 ct,"Kirkland Signature 2% Reduced Fat Milk, Lactose-Free, Half Gallon, 3 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Organic Roasted Seaweed with Sesame Oil, 0.60 oz, 10 ct",12.53,1193197,resolved_catalog_exact,1.0,Kirkland Signature,10 ct,"Kirkland Signature Organic Roasted Seaweed with Sesame Oil, 0.60 oz, 10 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Crystal Clear Cutlery Assortment, Clear, 360 ct",18.91,12648,resolved_catalog_exact,1.0,Kirkland Signature,360 ct,"Kirkland Signature Crystal Clear Cutlery Assortment, Clear, 360 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Halal Frenched Rack of Lamb, 2 lb avg wt",19.9,18010,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Halal Frenched Rack of Lamb, 2 lb avg wt",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Halal Leg of Lamb, Boneless, 5 lb avg wt",8.35,29755,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Halal Leg of Lamb, Boneless, 5 lb avg wt",items,False,normalized-name equality vs 2026-08-14 catalog
"Truckload Kirkland Signature Purified Drinking Water, 16.9 fl oz, 18 Pallet Minimum",5.49,906078,resolved_catalog_exact,1.0,Kirkland Signature,,"Truckload Kirkland Signature Purified Drinking Water, 16.9 fl oz, 18 Pallet Minimum",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Peanut Butter Filled Pretzel Nuggets, 55 oz",12.64,1050557,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Peanut Butter Filled Pretzel Nuggets, 55 oz",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Italian Sausage and Beef Lasagna, 3 lbs, 2 ct",22.98,1321637,resolved_catalog_exact,1.0,Kirkland Signature,2 ct,"Kirkland Signature Italian Sausage and Beef Lasagna, 3 lbs, 2 ct",items,False,normalized-name equality vs 2026-08-14 catalog
"Kirkland Signature Aluminum Foil, 12""W x 1000'L",54.99,31680,resolved_catalog_exact,1.0,Kirkland Signature,,"Kirkland Signature Aluminum Foil, 12""W x 1000'L",items,False,normalized-name equality vs 2026-08-14 catalog
